XValue;YValue;codramal;ZMC
-7.85542611;38.01209651;308039;7400
-7.8555233;38.01189375;308044;7400
-7.85426905;38.01236138;441039;7400
-7.85415245;38.01222521;441042;7400
-7.85401962;38.01206552;441004;7400
-7.85402624;38.01197576;70017;7400
-7.85412755;38.01185093;70024;7400
-7.85414971;38.01181999;70008;7400
-7.85421394;38.01171416;70004;7400
-7.85423251;38.01168162;70010;7400
-7.85439966;38.0115804;70022;7400
-7.85460694;38.01169317;308054;7400
-7.85475498;38.01177677;308008;7400
-7.85490966;38.01185999;308034;7400
-7.85536728;38.01180789;308006;7400
-7.85521752;38.01172547;308003;7400
-7.85506585;38.01164201;308035;7400
-7.85490252;38.01155213;308025;7400
-7.8547385;38.0114496;308055;7400
-7.85453475;38.01130233;70001;7400
-7.85465538;38.01109886;70016;7400
-7.85467999;38.01106712;70007;7400
-7.85353448;38.01223163;757090;7400
-7.85479859;38.01096967;70011;7400
-7.85382115;38.01232477;441013;7400
-7.85404982;38.01247388;441029;7400
-7.85430106;38.01268172;441033;7400
-7.85444015;38.0127821;441032;7400
-7.85458594;38.01287589;441037;7400
-7.85473172;38.01296967;441031;7400
-7.85498437;38.01313495;441024;7400
-7.85513088;38.01322834;441071;7400
-7.85527769;38.01332193;441057;7400
-7.8536481;38.01207431;1046017;7400
-7.854309;38.01314621;757065;7400
-7.85485956;38.01349579;757009;7400
-7.85471409;38.01340376;757073;7400
-7.85445538;38.01323941;757050;7400
-7.85416568;38.01305494;757022;7400
-7.85400243;38.012942;757042;7400
-7.85376632;38.0127439;757067;7400
-7.85358418;38.01257969;757071;7400
-7.85341066;38.01240306;757027;7400
-7.85495357;38.01355538;757035;7400
-7.8541337;38.01255215;441036;7400
-7.85537655;38.0133851;441060;7400
-7.85484469;38.01304441;441002;7400
-7.85501069;38.01191089;308040;7400
-7.85562926;38.01201181;1086001;7400
