XValue;YValue;codramal;ZMC
-7.71607039;38.02567877;6001;2900
-7.716125;38.02576173;6002;2900
-7.71560859;38.02571967;6003;2900
-7.71631405;38.02601896;6004;2900
-7.71566044;38.02580714;6005;2900
-7.7163492;38.0260576;6006;2900
-7.71593214;38.0255025;6007;2900
-7.71603553;38.02563684;6008;2900
-7.71576893;38.02598795;6009;2900
-7.71608261;38.02569654;6010;2900
-7.71574636;38.02594434;6011;2900
-7.71591478;38.02547686;6012;2900
-7.71624481;38.02592507;6013;2900
-7.7155768;38.02566879;6014;2900
-7.71620669;38.02588423;6015;2900
-7.71637882;38.02609613;6016;2900
-7.71554858;38.02560794;6017;2900
-7.716405;38.0261362;6018;2900
-7.71617046;38.02583644;6019;2900
-7.71584543;38.02611832;6020;2900
-7.7159;38.02545361;6021;2900
-7.71567989;38.02583757;6023;2900
-7.71564121;38.02577534;6024;2900
-7.71571057;38.02588555;6025;2900
-7.71596002;38.02554136;6026;2900
-7.71515375;38.0254055;197001;2900
-7.7153078;38.02535574;197002;2900
-7.71483815;38.02533612;197003;2900
-7.71451374;38.02548211;197004;2900
-7.71495073;38.02541211;197005;2900
-7.71517372;38.02519514;197006;2900
-7.71574457;38.02537856;197007;2900
-7.71511615;38.02540627;197008;2900
-7.71479383;38.02533763;197009;2900
-7.71448748;38.02539501;197010;2900
-7.71473819;38.02533819;197011;2900
-7.71582378;38.02538167;197012;2900
-7.71440237;38.0255149;197013;2900
-7.71490226;38.02541338;197014;2900
-7.71462337;38.02545529;197015;2900
-7.71548028;38.02536746;197016;2900
-7.71435237;38.02552842;197017;2900
-7.71535499;38.02544124;197018;2900
-7.71484373;38.02541551;197019;2900
-7.71429915;38.02554318;197020;2900
-7.71523801;38.02540285;197021;2900
-7.71412145;38.02534739;197022;2900
-7.71500396;38.02541042;197023;2900
-7.71491507;38.02533763;197024;2900
-7.71476831;38.02542247;197025;2900
-7.71536201;38.02548372;197026;2900
-7.71445867;38.02550022;197027;2900
-7.71416095;38.02536334;197028;2900
-7.71505971;38.02540813;197029;2900
-7.71590472;38.0253853;197030;2900
-7.7156324;38.02721242;259001;2900
-7.71547723;38.02590162;260001;2900
-7.7147485;38.02696591;385001;2900
-7.71382017;38.02554568;410001;2900
-7.71352823;38.02553033;530001;2900
-7.71377265;38.02547745;530002;2900
-7.71383255;38.02546414;530003;2900
-7.71339057;38.02567719;530004;2900
-7.71373866;38.0255898;530005;2900
-7.71355874;38.02552408;530006;2900
-7.71343364;38.0255518;530007;2900
-7.71349532;38.02553708;530008;2900
-7.71393309;38.02544091;530009;2900
-7.71347938;38.02564884;530010;2900
-7.71277388;38.02584533;530011;2900
-7.71356112;38.02562547;530012;2900
-7.71364847;38.02550475;530013;2900
-7.7133081;38.02558196;530014;2900
-7.71554351;38.02728636;532001;2900
-7.71524559;38.02735816;532002;2900
-7.71637795;38.02656765;532003;2900
-7.71675357;38.02689006;532004;2900
-7.71608171;38.02687172;532005;2900
-7.71670479;38.02691425;532006;2900
-7.71636511;38.02709252;532007;2900
-7.71648674;38.02623785;532008;2900
-7.71646867;38.02649597;532009;2900
-7.71594441;38.02699381;532010;2900
-7.71537764;38.0273313;532011;2900
-7.71533009;38.02731578;532012;2900
-7.71497287;38.02735129;532013;2900
-7.71571815;38.02712199;532014;2900
-7.7151151;38.02738517;532015;2900
-7.71528158;38.0272633;532016;2900
-7.71586515;38.02703701;532017;2900
-7.71648908;38.02702624;532018;2900
-7.71644721;38.02704668;532019;2900
-7.71569104;38.02724939;532020;2900
-7.71576424;38.02709141;532021;2900
-7.71638255;38.02671463;532022;2900
-7.7163215;38.0267487;532023;2900
-7.71639034;38.02652006;532024;2900
-7.71619424;38.02681323;532025;2900
-7.71667182;38.02661577;532026;2900
-7.71662755;38.02695547;532027;2900
-7.71614755;38.02683699;532028;2900
-7.71625564;38.02678109;532029;2900
-7.71580978;38.02706718;532030;2900
-7.7165523;38.02698988;532031;2900
-7.7151787;38.02737192;532032;2900
-7.71563308;38.02726662;532033;2900
-7.71532074;38.02734288;532034;2900
-7.71652294;38.02700501;532035;2900
-7.71570141;38.02719069;532036;2900
-7.71590784;38.02701374;532037;2900
-7.71546278;38.02731135;532038;2900
-7.7161925;38.02712555;532039;2900
-7.712826;38.02574082;652001;2900
-7.71567955;38.0276447;680001;2900
-7.71610498;38.02736388;680002;2900
-7.71506953;38.02754033;680003;2900
-7.71546273;38.02776061;680004;2900
-7.71525117;38.02820415;680005;2900
-7.71525214;38.02807877;680006;2900
-7.71533118;38.02794034;680007;2900
-7.71557099;38.02773956;680008;2900
-7.71542871;38.02779282;680009;2900
-7.71575984;38.02758112;680010;2900
-7.71549716;38.027728;680011;2900
-7.71518408;38.02816738;680012;2900
-7.71532397;38.02810565;680013;2900
-7.71522475;38.02811519;680014;2900
-7.71534126;38.02808179;680015;2900
-7.71627108;38.02729752;680016;2900
-7.7152989;38.028132;680017;2900
-7.71600587;38.02742447;680018;2900
-7.71546082;38.02790161;680019;2900
-7.71560208;38.02770586;680020;2900
-7.71596436;38.02744959;680021;2900
-7.7156392;38.02767666;680022;2900
-7.71583779;38.02752822;680023;2900
-7.71543517;38.02794003;680024;2900
-7.7159179;38.027478;680025;2900
-7.71554536;38.02777617;680026;2900
-7.71535457;38.0280559;680027;2900
-7.71640795;38.02717901;680028;2900
-7.71527723;38.02816476;680029;2900
-7.71552146;38.02781118;680030;2900
-7.71604046;38.02740306;680031;2900
-7.71299422;38.02592657;695001;2900
-7.71321145;38.02616459;695002;2900
-7.71295019;38.02588127;695003;2900
-7.71409333;38.02608304;695004;2900
-7.71429852;38.02724188;695005;2900
-7.71381886;38.02675912;695006;2900
-7.71350061;38.02644919;695007;2900
-7.71335766;38.02630956;695008;2900
-7.71418956;38.02713344;695009;2900
-7.71329403;38.02624748;695010;2900
-7.71438237;38.0273343;695011;2900
-7.71422555;38.0271663;695012;2900
-7.71415563;38.02616573;695013;2900
-7.71370963;38.02665265;695014;2900
-7.7140546;38.02603129;695015;2900
-7.71461042;38.02675025;695016;2900
-7.71454912;38.02666882;695017;2900
-7.71490537;38.02730843;695018;2900
-7.71417533;38.02619042;695019;2900
-7.71385752;38.02679675;695020;2900
-7.71305882;38.02599792;695021;2900
-7.71326641;38.02621993;695022;2900
-7.71356794;38.02651328;695023;2900
-7.71459147;38.02672285;695024;2900
